id,nome,descricao,tipo_1,tipo_2,habilidade,peso_kg,altura_m,hp,ataque,defesa,ataque_especial,defesa_especial,velocidade,foto_url
1,bulbasaur,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,grass,poison,overgrow,6.9,0.7,45,49,49,65,65,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png
2,ivysaur,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",grass,poison,overgrow,13.0,1.0,60,62,63,80,80,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png
3,venusaur,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,grass,poison,overgrow,100.0,2.0,80,82,83,100,100,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png
4,charmander,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",fire,puro,blaze,8.5,0.6,39,52,43,60,50,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png
5,charmeleon,"When it swings its burning tail, it elevates the temperature to unbearably high levels.",fire,puro,blaze,19.0,1.1,58,64,58,80,65,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png
6,charizard,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,fire,flying,blaze,90.5,1.7,78,84,78,109,85,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png
7,squirtle,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",water,puro,torrent,9.0,0.5,44,48,65,50,64,43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png
8,wartortle,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.",water,puro,torrent,22.5,1.0,59,63,80,65,80,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png
9,blastoise,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,water,puro,torrent,85.5,1.6,79,83,100,85,105,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png
10,caterpie,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,bug,puro,shield-dust,2.9,0.3,45,30,35,20,20,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png
